Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2023-11-01,380.0,417.9500122070313,378.0,413.3999938964844,411.8835144042969,22439980,0.0,0.0
2023-11-02,423.0,433.3999938964844,403.3999938964844,406.9500122070313,405.4571838378906,4315489,0.0,0.0
2023-11-03,409.7999877929688,413.2000122070313,386.0499877929688,389.8500061035156,388.4198913574219,1466942,0.0,0.0
2023-11-06,372.0,393.75,357.3500061035156,382.5,381.0968322753906,2137882,0.0,0.0
2023-11-07,382.0,387.25,376.25,381.7000122070313,380.2998046875,657524,0.0,0.0
2023-11-08,385.0,408.7999877929688,385.0,405.2999877929688,403.8132019042969,1164406,0.0,0.0
2023-11-09,406.5,419.8999938964844,401.0499877929688,404.0499877929688,402.56781005859375,945054,0.0,0.0
2023-11-10,399.0,402.7000122070313,376.6499938964844,387.75,386.3276062011719,666783,0.0,0.0
2023-11-13,403.0,415.0,398.0499877929688,400.25,398.78173828125,502996,0.0,0.0
2023-11-15,403.75,406.8999938964844,391.3500061035156,392.5499877929688,391.1099853515625,444278,0.0,0.0
2023-11-16,395.0,396.0,384.0,389.1499938964844,387.7224731445313,817395,0.0,0.0
2023-11-17,391.0,394.0,379.0,381.4500122070313,380.05072021484375,374541,0.0,0.0
2023-11-20,381.0,398.0,381.0,393.2000122070313,391.7576293945313,518920,0.0,0.0
2023-11-21,393.9500122070313,401.2000122070313,384.0,389.6499938964844,388.22064208984375,446158,0.0,0.0
2023-11-22,390.0,392.0,382.2999877929688,385.3500061035156,383.9364318847656,208898,0.0,0.0
2023-11-23,385.75,386.0,379.2999877929688,383.7000122070313,382.29248046875,236856,0.0,0.0
2023-11-24,382.0,384.2999877929688,370.0499877929688,374.2999877929688,372.9269104003906,375797,0.0,0.0
2023-11-28,376.0,377.7000122070313,358.6000061035156,364.75,363.4119873046875,450131,0.0,0.0
2023-11-29,366.8999938964844,372.0,362.25,364.4500122070313,363.1130676269531,478518,0.0,0.0
2023-11-30,366.0,366.7999877929688,355.5,360.1000061035156,358.7790222167969,369766,0.0,0.0
2023-12-01,362.2000122070313,364.0,344.75,346.95001220703125,345.6772766113281,736101,0.0,0.0
2023-12-04,350.54998779296875,358.0,332.8999938964844,355.3999938964844,354.09625244140625,977080,0.0,0.0
2023-12-05,355.3999938964844,369.9500122070313,355.3999938964844,360.25,358.928466796875,503045,0.0,0.0
2023-12-06,360.5499877929688,362.8999938964844,346.04998779296875,348.5,347.2215576171875,349922,0.0,0.0
2023-12-07,348.6499938964844,352.45001220703125,341.25,350.04998779296875,348.765869140625,251113,0.0,0.0
2023-12-08,351.8999938964844,353.45001220703125,336.0,339.45001220703125,338.2048034667969,907573,0.0,0.0
2023-12-11,341.29998779296875,341.45001220703125,330.95001220703125,332.75,331.52935791015625,248256,0.0,0.0
2023-12-12,333.0,339.0,319.5,322.1000061035156,320.91845703125,515490,0.0,0.0
2023-12-13,320.0,348.70001220703125,320.0,343.20001220703125,341.9410400390625,2174828,0.0,0.0
2023-12-14,346.0,353.0,331.8999938964844,333.79998779296875,332.57550048828125,1234411,0.0,0.0
2023-12-15,335.0,350.95001220703125,332.6000061035156,347.20001220703125,345.9263610839844,867123,0.0,0.0
2023-12-18,348.5,358.79998779296875,345.04998779296875,352.5,351.2069091796875,510338,0.0,0.0
2023-12-19,355.0,373.4500122070313,352.1499938964844,362.0,360.6720581054688,1235687,0.0,0.0
2023-12-20,363.8999938964844,371.9500122070313,348.25,354.54998779296875,353.2493896484375,622099,0.0,0.0
2023-12-21,356.0,360.6000061035156,347.04998779296875,358.6499938964844,357.3343200683594,334004,0.0,0.0
2023-12-22,361.0,368.0,354.54998779296875,361.2999877929688,359.974609375,469041,0.0,0.0
2023-12-26,358.20001220703125,376.0,358.20001220703125,369.6499938964844,368.29400634765625,464401,0.0,0.0
2023-12-27,372.4500122070313,376.9500122070313,360.2999877929688,371.0499877929688,369.6888427734375,343578,0.0,0.0
2023-12-28,371.4500122070313,373.0,361.0,368.9500122070313,367.5965881347656,321445,0.0,0.0
2023-12-29,369.0,373.0,365.2999877929688,368.1000061035156,366.7496948242188,315761,0.0,0.0
2024-01-01,370.0,374.7999877929688,364.5499877929688,368.2000122070313,366.8493347167969,235647,0.0,0.0
2024-01-02,369.0,386.0499877929688,365.0499877929688,379.0,377.6097106933594,698090,0.0,0.0
2024-01-03,381.0,383.7999877929688,373.0,373.7000122070313,372.32916259765625,169192,0.0,0.0
2024-01-04,380.0,392.0,375.6499938964844,384.3999938964844,382.9898681640625,585023,0.0,0.0
2024-01-05,384.9500122070313,388.0,372.75,377.1499938964844,375.7664794921875,381206,0.0,0.0
