Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2008-01-01,25.5,25.5,25.5,25.5,24.41165542602539,47810,0.0,0.0
2008-01-02,27.0,27.0,27.0,27.0,25.847633361816406,58321,0.0,0.0
2008-01-03,28.5,28.5,28.5,28.5,27.283615112304688,47431,0.0,0.0
2008-01-04,30.0,30.0,30.0,30.0,28.71959114074707,63182,0.0,0.0
2008-01-07,31.5,31.5,31.5,31.5,30.15557289123535,101741,0.0,0.0
2008-01-08,33.5,33.5,30.0,30.0,28.71959114074707,573260,0.0,0.0
2008-01-09,28.5,28.5,28.5,28.5,27.283615112304688,147354,0.0,0.0
2008-01-10,27.5,30.0,27.5,27.5,26.3262939453125,181815,0.0,0.0
2008-01-11,26.5,26.5,26.5,26.5,25.368974685668945,5577,0.0,0.0
2008-01-14,25.5,25.5,25.5,25.5,24.41165542602539,5757,0.0,0.0
2008-01-15,24.5,24.5,24.5,24.5,23.454334259033203,2541,0.0,0.0
2008-01-16,23.5,23.5,23.5,23.5,22.49701690673828,1980,0.0,0.0
2008-01-17,22.5,25.0,22.5,24.5,23.454334259033203,94500,0.0,0.0
2008-01-18,25.0,26.0,23.5,23.5,22.49701690673828,81436,0.0,0.0
2008-01-21,23.5,23.5,22.5,22.5,21.539697647094727,3681,0.0,0.0
2008-01-22,21.5,21.5,21.5,21.5,20.58237266540528,601,0.0,0.0
2008-01-23,20.5,20.5,20.5,20.5,19.62505531311035,2505,0.0,0.0
2008-01-24,19.5,19.5,19.5,19.5,18.667739868164062,640,0.0,0.0
2008-01-25,18.5,18.5,18.5,18.5,17.71041488647461,2285,0.0,0.0
2008-01-28,18.0,18.0,18.0,18.0,17.23175621032715,621,0.0,0.0
2008-01-29,17.5,17.5,17.5,17.5,16.753097534179688,614,0.0,0.0
2008-01-30,17.0,17.0,17.0,17.0,16.27443504333496,321,0.0,0.0
2008-01-31,16.5,16.5,16.5,16.5,15.795775413513184,1958,0.0,0.0
2008-02-01,16.0,16.0,16.0,16.0,15.31711769104004,782,0.0,0.0
2008-02-04,15.5,15.5,15.5,15.5,14.838458061218262,21025,0.0,0.0
2008-02-05,15.0,16.5,15.0,16.5,15.795775413513184,54385,0.0,0.0
2008-02-06,16.0,17.0,16.0,16.5,15.795775413513184,19855,0.0,0.0
2008-02-07,17.0,17.0,15.5,16.0,15.31711769104004,50924,0.0,0.0
2008-02-08,15.5,15.5,15.5,15.5,14.838458061218262,3005,0.0,0.0
2008-02-11,15.0,15.0,15.0,15.0,14.359795570373535,1297,0.0,0.0
2008-02-12,14.5,14.5,14.5,14.5,13.881136894226074,417,0.0,0.0
2008-02-13,14.0,14.0,14.0,14.0,13.402477264404297,801,0.0,0.0
2008-02-14,13.5,13.5,13.5,13.5,12.923816680908203,2900,0.0,0.0
2008-02-15,13.0,13.0,13.0,13.0,12.445157051086426,6826,0.0,0.0
2008-02-18,12.5,13.0,12.5,13.0,12.445157051086426,15974,0.0,0.0
2008-02-19,14.0,14.0,12.5,13.5,12.923816680908203,34931,0.0,0.0
2008-02-20,12.5,13.5,12.0,13.0,12.445157051086426,15993,0.0,0.0
2008-02-21,13.0,13.5,12.5,13.0,12.445157051086426,8735,0.0,0.0
2008-02-22,12.0,13.0,12.0,13.0,12.445157051086426,11296,0.0,0.0
2008-02-25,13.0,13.0,11.5,11.5,11.009177207946776,13472,0.0,0.0
2008-02-26,11.0,12.0,11.0,11.5,11.009177207946776,13368,0.0,0.0
2008-02-27,10.5,11.5,10.5,11.5,11.009177207946776,16021,0.0,0.0
2008-02-28,11.0,12.0,10.5,10.5,10.051857948303224,5782,0.0,0.0
2008-02-29,11.0,11.0,10.5,10.5,10.051857948303224,7979,0.0,0.0
2008-03-03,11.0,11.0,10.0,10.0,9.573198318481444,12313,0.0,0.0
2008-03-04,9.5,10.5,9.5,10.5,10.051857948303224,20957,0.0,0.0
2008-03-05,10.0,10.5,9.5,9.5,9.094537734985352,39781,0.0,0.0
2008-03-07,9.0,9.5,9.0,9.0,8.615878105163574,5610,0.0,0.0
2008-03-10,8.5,9.0,8.5,8.5,8.13721752166748,40040,0.0,0.0
2008-03-11,9.0,9.0,8.5,9.0,8.615878105163574,32492,0.0,0.0
2008-03-12,9.5,9.5,9.5,9.5,9.094537734985352,2375,0.0,0.0
2008-03-13,10.0,10.0,9.5,10.0,9.573198318481444,40494,0.0,0.0
2008-03-14,10.5,10.5,9.5,9.5,9.094537734985352,30597,0.0,0.0
2008-03-17,9.5,9.5,9.0,9.0,8.615878105163574,29896,0.0,0.0
2008-03-18,9.0,9.0,8.5,8.5,8.13721752166748,26620,0.0,0.0
2008-03-19,8.0,9.0,8.0,8.0,7.6585588455200195,39202,0.0,0.0
2008-03-24,7.5,8.0,7.5,7.5,7.179897785186768,7574,0.0,0.0
2008-03-25,7.0,8.0,7.0,7.5,7.179897785186768,16369,0.0,0.0
2008-03-26,7.0,8.0,7.0,8.0,7.6585588455200195,8986,0.0,0.0
2008-03-27,8.5,8.5,8.5,8.5,8.13721752166748,6366,0.0,0.0
2008-03-28,9.0,9.0,9.0,9.0,8.615878105163574,3547,0.0,0.0
2008-03-31,9.5,9.5,9.5,9.5,9.094537734985352,2662,0.0,0.0
2008-04-01,10.0,10.0,10.0,10.0,9.573198318481444,4417,0.0,0.0
2008-04-02,10.5,10.5,10.0,10.5,10.051857948303224,36561,0.0,0.0
2008-04-03,11.0,11.0,10.5,11.0,10.530517578125,12512,0.0,0.0
