Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-06-01,270.0,279.0,256.0,257.8999938964844,254.63072204589844,7383750,0.0,0.0
2022-06-02,255.8999938964844,259.0,253.75,255.8999938964844,252.6560974121093,965938,0.0,0.0
2022-06-03,256.1000061035156,261.0,255.1499938964844,256.20001220703125,252.95233154296875,871504,0.0,0.0
2022-06-06,256.20001220703125,259.6000061035156,254.0500030517578,257.5,254.2358245849609,325169,0.0,0.0
2022-06-07,253.3000030517578,260.3999938964844,253.3000030517578,258.8500061035156,255.56871032714844,333655,0.0,0.0
2022-06-08,256.0,259.0,253.0500030517578,255.3500061035156,252.11309814453125,178072,0.0,0.0
2022-06-09,255.3500061035156,258.0,254.4499969482422,255.9499969482422,252.70545959472656,164921,0.0,0.0
2022-06-10,253.8999938964844,255.0,252.0,253.1999969482422,249.99034118652344,132439,0.0,0.0
2022-06-13,253.0,253.0,245.1000061035156,247.5500030517578,244.4119567871093,260250,0.0,0.0
2022-06-14,245.0,256.0,244.1000061035156,255.0,251.7675018310547,235625,0.0,0.0
2022-06-15,257.8999938964844,258.79998779296875,253.8999938964844,256.6000061035156,253.3472442626953,219168,0.0,0.0
2022-06-16,256.1000061035156,258.75,253.75,256.8500061035156,253.5940704345703,301391,0.0,0.0
2022-06-17,253.1000061035156,257.5,251.8500061035156,255.6499938964844,252.40928649902344,197431,0.0,0.0
2022-06-20,252.25,254.3000030517578,248.0500030517578,251.25,248.0650329589844,118670,0.0,0.0
2022-06-21,251.5500030517578,253.8999938964844,236.5500030517578,243.6499938964844,240.56138610839844,64248,0.0,0.0
2022-06-22,240.9499969482422,253.1999969482422,236.3000030517578,246.4499969482422,243.325912475586,119991,0.0,0.0
2022-06-23,246.3999938964844,249.8000030517578,239.5,240.8000030517578,237.74752807617188,43188,0.0,0.0
2022-06-24,243.8000030517578,244.75,239.0,239.4499969482422,236.4146423339844,35442,0.0,0.0
2022-06-27,240.1000061035156,243.3999938964844,238.0,239.5,236.4640045166016,31530,0.0,0.0
2022-06-28,238.5500030517578,251.0,237.1999969482422,246.3000030517578,243.1778259277344,115028,0.0,0.0
2022-06-29,246.0500030517578,255.0,243.8999938964844,253.5,250.2865295410156,96624,0.0,0.0
2022-06-30,252.0,256.0,248.25,252.8999938964844,249.69412231445312,54832,0.0,0.0
2022-07-01,247.5,254.3999938964844,246.0,252.5,249.29920959472656,44487,0.0,0.0
2022-07-04,250.0,252.0,246.0,246.9499969482422,243.819564819336,18303,0.0,0.0
2022-07-05,246.0,251.1000061035156,246.0,248.6000061035156,245.4486541748047,35405,0.0,0.0
2022-07-06,249.0,251.9499969482422,244.3000030517578,250.1999969482422,247.02835083007807,80759,0.0,0.0
2022-07-07,252.0,252.9499969482422,248.0,248.5,245.3499298095703,26330,0.0,0.0
2022-07-08,248.3999938964844,250.6999969482422,247.1000061035156,248.3500061035156,245.20181274414065,21802,0.0,0.0
2022-07-11,245.1000061035156,260.0,245.1000061035156,257.29998779296875,254.0383453369141,153313,0.0,0.0
2022-07-12,253.1000061035156,256.6000061035156,248.1000061035156,249.8999938964844,246.73214721679688,39063,0.0,0.0
2022-07-13,251.0,256.0,250.0,251.1999969482422,248.01568603515625,24824,0.0,0.0
2022-07-14,250.0,252.0500030517578,246.1000061035156,250.1999969482422,247.02835083007807,25879,0.0,0.0
2022-07-15,255.0,255.0,246.1999969482422,247.6499938964844,244.5106811523437,22348,0.0,0.0
2022-07-18,248.0,250.9499969482422,248.0,248.9499969482422,245.7942047119141,20217,0.0,0.0
2022-07-19,248.0500030517578,251.4499969482422,245.1000061035156,246.1999969482422,243.0790863037109,37091,0.0,0.0
2022-07-20,248.3500061035156,250.8999938964844,245.0500030517578,246.9499969482422,243.819564819336,40012,0.0,0.0
2022-07-21,248.0,250.6000061035156,246.1000061035156,250.0,246.83091735839844,119770,0.0,0.0
2022-07-22,253.0,256.95001220703125,249.0,253.6999969482422,250.4839782714844,96562,0.0,0.0
2022-07-25,257.0,296.79998779296875,256.0,285.25,281.6340637207031,2460622,0.0,0.0
2022-07-26,283.29998779296875,337.0,278.54998779296875,327.04998779296875,322.9041748046875,3663673,0.0,0.0
2022-07-27,329.20001220703125,356.6499938964844,321.0,327.20001220703125,323.05230712890625,3014836,0.0,0.0
2022-07-28,330.20001220703125,336.75,327.04998779296875,333.3500061035156,330.3865051269531,656968,1.25,0.0
2022-07-29,330.3999938964844,373.4500122070313,328.8999938964844,341.1000061035156,338.067626953125,2308649,0.0,0.0
2022-08-01,347.0,366.75,336.20001220703125,354.6000061035156,351.4476013183594,866761,0.0,0.0
2022-08-02,353.0,366.2999877929688,350.6000061035156,361.2999877929688,358.0880126953125,743139,0.0,0.0
2022-08-03,363.8999938964844,374.7000122070313,361.0,366.0499877929688,362.7957763671875,835824,0.0,0.0
2022-08-04,368.0,371.2999877929688,332.8500061035156,358.0,354.8173828125,741301,0.0,0.0
2022-08-05,356.70001220703125,367.7999877929688,353.1499938964844,358.75,355.5606994628906,347754,0.0,0.0
2022-08-08,354.29998779296875,360.0,342.0,344.54998779296875,341.4869079589844,338370,0.0,0.0
2022-08-10,342.0,362.0,342.0,350.75,347.6318054199219,631170,0.0,0.0
2022-08-11,351.25,398.8999938964844,351.25,379.2999877929688,375.927978515625,2424242,0.0,0.0
2022-08-12,380.7000122070313,394.0,364.0,368.3500061035156,365.0753784179688,1064451,0.0,0.0
2022-08-16,372.7999877929688,372.7999877929688,354.45001220703125,356.70001220703125,353.5289306640625,474636,0.0,0.0
2022-08-17,359.70001220703125,369.0,355.75,362.6000061035156,359.3764343261719,398385,0.0,0.0
2022-08-18,363.6499938964844,365.8999938964844,349.6499938964844,356.25,353.0829162597656,560424,0.0,0.0
2022-08-19,355.5,359.29998779296875,349.45001220703125,350.79998779296875,347.6813659667969,294550,0.0,0.0
2022-08-22,352.0,365.0,349.45001220703125,352.8500061035156,349.7131652832031,420144,0.0,0.0
2022-08-23,352.8500061035156,362.2000122070313,350.0,357.3999938964844,354.22271728515625,207457,0.0,0.0
