Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2014-07-31,239.0,250.9499969482422,230.0,250.9499969482422,195.0152130126953,205652,0.0,0.0
2014-08-01,255.0,263.45001220703125,250.0,263.45001220703125,204.7290496826172,183076,0.0,0.0
2014-08-04,273.70001220703125,276.6000061035156,255.0,268.6499938964844,208.76998901367188,214985,0.0,0.0
2014-08-05,269.70001220703125,272.0,255.25,265.1499938964844,206.0500946044922,116355,0.0,0.0
2014-08-06,264.8500061035156,276.0,260.5,266.75,207.2935333251953,492769,0.0,0.0
2014-08-07,266.0,268.95001220703125,261.0,264.0,205.15643310546875,205650,0.0,0.0
2014-08-08,261.0,261.0,250.8000030517578,253.8999938964844,197.3076171875,569447,0.0,0.0
2014-08-11,261.95001220703125,263.8500061035156,256.95001220703125,258.45001220703125,200.84347534179688,296412,0.0,0.0
2014-08-12,258.5,260.0,250.6000061035156,254.5500030517578,197.81277465820312,413139,0.0,0.0
2014-08-13,253.0500030517578,267.25,251.5,266.29998779296875,206.9437561035156,402711,0.0,0.0
2014-08-14,268.0,275.0,266.0,270.3500061035156,210.09109497070312,313901,0.0,0.0
2014-08-18,274.8999938964844,287.0,267.0,279.0,216.8130798339844,335554,0.0,0.0
2014-08-19,280.0,299.75,275.0,293.70001220703125,228.236557006836,596621,0.0,0.0
2014-08-20,294.5,297.0,284.25,290.6000061035156,225.82749938964844,350867,0.0,0.0
2014-08-21,293.0,297.29998779296875,285.0,287.25,223.2242431640625,147218,0.0,0.0
2014-08-22,287.54998779296875,288.45001220703125,271.1499938964844,276.95001220703125,215.219970703125,43768,0.0,0.0
2014-08-25,279.6499938964844,284.0,276.0,276.8999938964844,215.1811370849609,59621,0.0,0.0
2014-08-26,272.04998779296875,279.79998779296875,261.6000061035156,267.20001220703125,207.64317321777344,42963,0.0,0.0
2014-08-27,267.0,282.0,266.29998779296875,278.54998779296875,216.46334838867188,87679,0.0,0.0
2014-08-28,286.95001220703125,293.0,280.0,288.45001220703125,224.15670776367188,93125,0.0,0.0
2014-09-01,290.95001220703125,293.0,280.1000061035156,283.6499938964844,220.42657470703125,39508,0.0,0.0
2014-09-02,284.0,294.0,280.20001220703125,286.1000061035156,222.3305511474609,133047,0.0,0.0
2014-09-03,289.3500061035156,329.0,288.3999938964844,313.79998779296875,243.85641479492188,843741,0.0,0.0
2014-09-04,315.0,316.3999938964844,301.1499938964844,308.0,239.3491973876953,202371,0.0,0.0
2014-09-05,310.29998779296875,314.0,302.79998779296875,308.75,239.9320068359375,124175,0.0,0.0
2014-09-08,310.8500061035156,320.0,308.0,312.1499938964844,242.57418823242188,116929,0.0,0.0
2014-09-09,310.75,314.54998779296875,304.25,307.95001220703125,239.31033325195312,67364,0.0,0.0
2014-09-10,307.1000061035156,316.5,305.1000061035156,309.25,240.3206329345703,54186,0.0,0.0
2014-09-11,311.70001220703125,315.8999938964844,308.0,308.95001220703125,240.0873870849609,53296,0.0,0.0
2014-09-12,308.5,318.0,307.25,315.1000061035156,244.8665771484375,105913,0.0,0.0
