Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2022-04-13,220.0,231.0,215.1999969482422,231.0,230.56369018554688,3807527,0.0,0.0
2022-04-18,242.5500030517578,242.5500030517578,235.6499938964844,242.5500030517578,242.0918731689453,2037740,0.0,0.0
2022-04-19,244.8999938964844,245.0,230.4499969482422,230.4499969482422,230.0147247314453,389707,0.0,0.0
2022-04-20,218.9499969482422,218.9499969482422,218.9499969482422,218.9499969482422,218.53643798828125,35723,0.0,0.0
2022-04-21,208.0500030517578,229.0,208.0500030517578,221.6999969482422,221.28125,1628271,0.0,0.0
2022-04-22,210.6499938964844,216.9499969482422,210.6499938964844,211.3500061035156,210.9508209228516,765352,0.0,0.0
2022-04-25,203.0,211.25,200.8000030517578,207.0,206.6090240478516,618582,0.0,0.0
2022-04-26,203.5500030517578,206.9499969482422,197.0,200.5500030517578,200.1712188720703,361715,0.0,0.0
2022-04-27,194.5,210.5500030517578,193.0500030517578,210.5500030517578,210.1523284912109,266365,0.0,0.0
2022-04-28,221.0500030517578,221.0500030517578,221.0500030517578,221.0500030517578,220.6324920654297,79480,0.0,0.0
2022-04-29,229.8999938964844,231.0,206.25,219.6000061035156,219.1852264404297,1527428,0.0,0.0
2022-05-02,214.0500030517578,230.8000030517578,210.0,221.8999938964844,221.4808654785156,613993,0.0,0.0
2022-05-04,225.0,228.4499969482422,210.0,212.25,211.8491058349609,421447,0.0,0.0
2022-05-05,219.0,222.5500030517578,214.5,216.4499969482422,216.04116821289065,330999,0.0,0.0
2022-05-06,212.0,215.1999969482422,206.9499969482422,214.1499938964844,213.7455139160156,339976,0.0,0.0
2022-05-09,217.5,223.75,210.6499938964844,214.1999969482422,213.79542541503903,663517,0.0,0.0
2022-05-10,212.6000061035156,220.9499969482422,193.3000030517578,199.25,198.8736572265625,637407,0.0,0.0
2022-05-11,202.0,203.0,169.10000610351562,194.8000030517578,194.4320678710937,949146,0.0,0.0
2022-05-12,195.0,197.9499969482422,186.3500061035156,192.3500061035156,191.9866943359375,307116,0.0,0.0
2022-05-13,199.0,201.6000061035156,190.0,193.1000061035156,192.7352752685547,232807,0.0,0.0
2022-05-16,196.4499969482422,210.6999969482422,193.3500061035156,205.5500030517578,205.16177368164065,531720,0.0,0.0
2022-05-17,209.6999969482422,210.0,204.3500061035156,209.25,208.85476684570312,250992,0.0,0.0
2022-05-18,210.0,218.8000030517578,205.6499938964844,208.3000030517578,207.9065704345703,464261,0.0,0.0
2022-05-19,195.0,207.3000030517578,195.0,203.0,202.6165771484375,232555,0.0,0.0
2022-05-20,205.0500030517578,227.8000030517578,204.1999969482422,214.1999969482422,213.79542541503903,910709,0.0,0.0
2022-05-23,219.8999938964844,223.5,212.0,214.6999969482422,214.2944793701172,375559,0.0,0.0
2022-05-24,220.0,224.8000030517578,211.1499938964844,214.5,214.0948638916016,417561,0.0,0.0
2022-05-25,218.0,221.1999969482422,198.5500030517578,200.25,199.8717803955078,361409,0.0,0.0
2022-05-26,202.1499938964844,213.0,192.0,202.8000030517578,202.41696166992188,295042,0.0,0.0
2022-05-27,206.0,211.3000030517578,203.1999969482422,208.5,208.106185913086,260935,0.0,0.0
