Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2005-06-24,113.4499969482422,113.4499969482422,92.5,93.8499984741211,79.18888092041016,249700,0.0,0.0
2005-06-27,95.0,97.5,92.0500030517578,93.5749969482422,78.95682525634766,43400,0.0,0.0
2005-06-28,94.0749969482422,95.0,89.57499694824219,90.4000015258789,76.27783966064453,25800,0.0,0.0
2005-06-29,90.0250015258789,92.8499984741211,89.0,91.2750015258789,77.0161361694336,15000,0.0,0.0
2005-06-30,92.0500030517578,92.5,90.6750030517578,91.6750030517578,77.3536605834961,7900,0.0,0.0
2005-07-01,91.6750030517578,91.6750030517578,91.6750030517578,91.6750030517578,77.3536605834961,0,0.0,0.0
2005-07-04,91.0,91.0,89.9000015258789,90.3000030517578,76.19346618652344,5100,0.0,0.0
2005-07-05,90.0,91.75,86.55000305175781,87.57499694824219,73.89415740966797,10000,0.0,0.0
2005-07-06,89.94999694824219,90.0,86.0250015258789,86.5999984741211,73.07145690917969,9100,0.0,0.0
2005-07-07,88.9000015258789,91.9000015258789,86.8499984741211,88.44999694824219,74.63246154785156,24500,0.0,0.0
2005-07-08,94.0,94.0,87.625,88.125,74.35823059082031,7700,0.0,0.0
2005-07-11,88.875,90.0,87.0250015258789,89.4000015258789,75.4340591430664,7600,0.0,0.0
2005-07-12,89.4000015258789,89.4000015258789,89.4000015258789,89.4000015258789,75.4340591430664,0,0.0,0.0
2005-07-13,97.3249969482422,101.4749984741211,97.0,100.5250015258789,84.82112884521484,65100,0.0,0.0
2005-07-14,99.0,102.5,97.5,98.5749969482422,83.17574310302734,19300,0.0,0.0
2005-07-15,97.5500030517578,100.0,97.5500030517578,99.75,84.16719055175781,6300,0.0,0.0
2005-07-18,102.4499969482422,102.4499969482422,99.0749969482422,100.0250015258789,84.39922332763672,26800,0.0,0.0
2005-07-19,102.0,107.0,100.5,106.1750030517578,89.5885009765625,100400,0.0,0.0
2005-07-20,106.5,109.0,104.5,107.5500030517578,90.74867248535156,29300,0.0,0.0
2005-07-21,107.5,109.0,102.5749969482422,106.6750030517578,90.01038360595703,15600,0.0,0.0
2005-07-22,106.9499969482422,107.0,102.8000030517578,103.75,87.54231262207031,203000,0.0,0.0
2005-07-25,104.5,104.9000015258789,99.875,101.6750030517578,85.79146575927734,23300,0.0,0.0
2005-07-26,102.0,102.0,98.5999984741211,99.4000015258789,83.87186431884766,4900,0.0,0.0
2005-07-27,99.0500030517578,99.9250030517578,97.8000030517578,98.2750015258789,82.922607421875,6200,0.0,0.0
2005-07-28,98.2750015258789,98.2750015258789,98.2750015258789,98.2750015258789,82.922607421875,0,0.0,0.0
2005-07-29,99.375,102.0,97.5,101.1500015258789,85.34848022460938,21500,0.0,0.0
2005-08-01,99.0500030517578,99.375,96.1500015258789,98.125,82.79603576660156,5200,0.0,0.0
2005-08-02,99.0,105.5,97.5749969482422,102.0250015258789,86.08677673339844,25800,0.0,0.0
2005-08-03,105.0,105.0,101.0,101.2750015258789,85.4539566040039,9800,0.0,0.0
2005-08-04,101.2249984741211,104.0,99.5,102.0500030517578,86.10787963867188,36900,0.0,0.0
2005-08-05,100.5500030517578,105.4499969482422,100.5250015258789,104.2750015258789,87.98531341552734,15700,0.0,0.0
2005-08-08,105.0,108.8499984741211,104.5250015258789,105.4749984741211,88.99784088134766,54200,0.0,0.0
2005-08-09,105.875,107.4499969482422,105.0,106.7249984741211,90.05255889892578,6600,0.0,0.0
2005-08-10,106.5,108.0,105.5,107.6500015258789,90.83307647705078,8000,0.0,0.0
2005-08-11,108.0,115.0,108.0,108.9499969482422,91.92996978759766,64200,0.0,0.0
2005-08-12,113.5,113.5,100.0999984741211,104.5999984741211,88.25952911376953,17300,0.0,0.0
2005-08-16,107.9499969482422,107.9749984741211,102.2750015258789,105.2750015258789,88.8290786743164,4100,0.0,0.0
2005-08-17,105.0,108.9749984741211,105.0,107.625,90.81197357177734,4700,0.0,0.0
2005-08-18,109.1500015258789,109.1999969482422,102.5,103.2750015258789,87.14151763916016,13400,0.0,0.0
2005-08-19,103.75,108.2750015258789,103.5,106.5999984741211,89.94709777832031,7700,0.0,0.0
2005-08-22,109.4499969482422,110.0,107.5,108.9499969482422,91.92996978759766,19200,0.0,0.0
2005-08-23,108.9499969482422,108.9499969482422,108.9499969482422,108.9499969482422,91.92996978759766,0,0.0,0.0
2005-08-24,101.0,104.1999969482422,97.7249984741211,98.9499969482422,83.49217224121094,7700,0.0,0.0
2005-08-25,100.5,104.9749984741211,99.0749969482422,103.5,87.33136749267578,27900,0.0,0.0
2005-08-26,106.4749984741211,106.4749984741211,100.5500030517578,100.6750030517578,84.94769287109375,3300,0.0,0.0
2005-08-29,95.25,103.375,95.25,101.6500015258789,85.77037811279297,4400,0.0,0.0
2005-08-30,101.5,104.25,100.0,102.75,86.69853210449219,3400,0.0,0.0
2005-08-31,112.0,112.0,100.5,101.3249969482422,85.49614715576172,110000,0.0,0.0
2005-09-01,117.5500030517578,117.5500030517578,98.0500030517578,98.6500015258789,83.23902893066406,74200,0.0,0.0
2005-09-02,100.0,100.0,88.5,94.3000030517578,79.56858825683594,157400,0.0,0.0
2005-09-05,99.0,100.0,96.6500015258789,98.75,83.32341003417969,40600,0.0,0.0
2005-09-06,102.9749984741211,102.9749984741211,99.5,101.9250030517578,86.00241088867188,38300,0.0,0.0
2005-09-08,104.5,110.0,98.0,101.0250015258789,85.24301147460938,65400,0.0,0.0
2005-09-09,102.5,103.75,101.0,103.4499969482422,87.2891845703125,36800,0.0,0.0
2005-09-12,104.0,104.9250030517578,102.5,103.1500015258789,87.03604125976562,14300,0.0,0.0
2005-09-13,103.125,112.0,102.125,107.375,90.6010284423828,55800,0.0,0.0
2005-09-14,104.0999984741211,109.25,104.0999984741211,106.3249969482422,89.71504974365234,23900,0.0,0.0
2005-09-15,106.0,109.4749984741211,104.0,108.8249969482422,91.82449340820312,20700,0.0,0.0
