Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2008-01-08,175.3000030517578,212.0,161.6999969482422,164.6999969482422,81.39930725097656,22042252,0.0,0.0
2008-01-09,166.8000030517578,172.8000030517578,154.25,155.25,76.7288589477539,5104081,0.0,0.0
2008-01-10,158.75,171.5,152.14999389648438,154.9499969482422,76.58059692382812,7501937,0.0,0.0
2008-01-11,155.1999969482422,156.4499969482422,141.0500030517578,143.1999969482422,70.77342224121094,1760990,0.0,0.0
2008-01-14,143.4499969482422,153.5,139.0,141.35000610351562,69.85910034179688,1515189,0.0,0.0
2008-01-15,143.0,147.8000030517578,137.5500030517578,138.5500030517578,68.47525787353516,721823,0.0,0.0
2008-01-16,138.0,138.0,126.75,130.60000610351562,64.546142578125,803686,0.0,0.0
2008-01-17,134.0,154.0,129.0,148.0,73.14569854736328,5203805,0.0,0.0
2008-01-18,145.0,148.39999389648438,130.9499969482422,133.5,65.97941589355469,1672825,0.0,0.0
2008-01-21,133.0,133.0,106.8000030517578,108.0,53.3765983581543,804568,0.0,0.0
2008-01-22,99.0,99.0,87.0,92.4000015258789,45.66665267944336,294572,0.0,0.0
2008-01-23,100.0,105.0,93.0,97.5999984741211,48.23663330078125,362831,0.0,0.0
2008-01-24,101.0,103.9000015258789,90.1500015258789,91.5,45.22183990478516,275839,0.0,0.0
2008-01-25,95.0,99.0,88.5,96.25,47.569427490234375,367339,0.0,0.0
2008-01-28,93.5,105.0,84.94999694824219,101.4499969482422,50.139408111572266,476091,0.0,0.0
2008-01-29,103.0,105.4000015258789,99.0999984741211,100.8499984741211,49.84287643432617,230106,0.0,0.0
2008-01-30,103.6500015258789,103.6500015258789,96.0,97.0,47.940086364746094,148156,0.0,0.0
2008-01-31,95.0999984741211,98.0,93.0,93.8000030517578,46.35856628417969,156878,0.0,0.0
2008-02-01,96.0,96.9000015258789,92.0,94.3499984741211,46.63039016723633,124031,0.0,0.0
2008-02-04,98.0,103.0,95.25,101.4000015258789,50.11469268798828,275156,0.0,0.0
2008-02-05,100.0999984741211,100.9000015258789,98.0999984741211,99.8499984741211,49.34864044189453,181126,0.0,0.0
2008-02-06,96.0,98.0,91.3499984741211,97.0,47.940086364746094,154652,0.0,0.0
2008-02-07,96.25,103.8000030517578,94.0,94.9499969482422,46.92692565917969,232361,0.0,0.0
2008-02-08,95.0,97.1500015258789,91.0,93.9000015258789,46.407989501953125,139494,0.0,0.0
2008-02-11,92.5,93.5,90.0,90.5,44.72762298583984,139523,0.0,0.0
2008-02-12,94.5,94.5,81.0,81.8499984741211,40.452545166015625,177166,0.0,0.0
2008-02-13,86.0,86.0,79.5,81.0999984741211,40.08187484741211,157255,0.0,0.0
2008-02-14,83.0,85.8499984741211,82.55000305175781,84.30000305175781,41.66340255737305,115884,0.0,0.0
2008-02-15,83.9000015258789,90.0,81.0999984741211,87.80000305175781,43.39320373535156,157822,0.0,0.0
2008-02-18,90.0,92.0,89.0,91.3000030517578,45.12299346923828,138736,0.0,0.0
2008-02-19,94.0,94.75,91.0,91.9000015258789,45.41952896118164,157691,0.0,0.0
2008-02-20,90.1999969482422,92.9000015258789,89.0,90.25,44.60405349731445,89818,0.0,0.0
2008-02-21,91.0,92.4000015258789,87.05000305175781,88.19999694824219,43.59088516235352,82599,0.0,0.0
2008-02-22,86.55000305175781,89.0,83.0,88.0999984741211,43.54146194458008,83292,0.0,0.0
2008-02-25,87.6500015258789,90.9000015258789,86.5,88.3499984741211,43.66503143310547,64803,0.0,0.0
2008-02-26,89.5,90.1999969482422,87.25,89.75,44.35694122314453,75671,0.0,0.0
2008-02-27,90.5,92.0,87.0999984741211,87.94999694824219,43.46733093261719,54569,0.0,0.0
2008-02-28,85.0,90.05000305175781,84.30000305175781,87.0,42.9978141784668,54118,0.0,0.0
2008-02-29,86.0999984741211,87.6500015258789,85.0,85.8499984741211,42.4294548034668,46570,0.0,0.0
2008-03-03,82.5,86.69999694824219,79.0,80.94999694824219,40.00773239135742,62937,0.0,0.0
2008-03-04,80.4000015258789,80.4000015258789,74.0,77.19999694824219,38.15438079833984,107080,0.0,0.0
2008-03-05,73.5,79.0,73.44999694824219,75.30000305175781,37.21535873413086,120555,0.0,0.0
2008-03-07,74.19999694824219,74.94999694824219,70.30000305175781,74.25,36.696407318115234,153734,0.0,0.0
2008-03-10,74.0,74.0,68.0,72.8499984741211,36.00448989868164,89442,0.0,0.0
2008-03-11,71.0,78.05000305175781,71.0,75.44999694824219,37.28948593139648,93055,0.0,0.0
2008-03-12,77.0,77.5,73.0,75.0,37.067081451416016,77178,0.0,0.0
2008-03-13,70.0,72.0,65.0,67.1500015258789,33.18739318847656,123207,0.0,0.0
2008-03-14,69.0,69.5,65.05000305175781,68.05000305175781,33.632205963134766,99902,0.0,0.0
2008-03-17,69.4000015258789,69.4000015258789,61.5,62.45000076293945,30.86452865600586,78918,0.0,0.0
2008-03-18,58.0,63.0,58.0,60.29999923706055,29.80194091796875,71710,0.0,0.0
2008-03-19,64.6500015258789,64.6500015258789,60.0,60.84999847412109,30.07375717163086,88898,0.0,0.0
2008-03-24,61.0,62.0,56.45000076293945,57.45000076293945,28.39338493347168,98080,0.0,0.0
2008-03-25,58.34999847412109,60.59999847412109,57.0,58.54999923706055,28.93703842163086,143526,0.0,0.0
2008-03-26,58.04999923706055,60.75,58.04999923706055,59.34999847412109,29.332420349121094,69504,0.0,0.0
2008-03-27,59.900001525878906,62.45000076293945,58.09999847412109,59.29999923706055,29.30770492553711,122721,0.0,0.0
2008-03-28,60.20000076293945,63.5,59.54999923706055,61.84999847412109,30.567983627319336,263867,0.0,0.0
2008-03-31,61.0,62.400001525878906,57.09999847412109,57.84999847412109,28.59107780456543,256761,0.0,0.0
2008-04-01,59.95000076293945,69.44999694824219,58.650001525878906,68.1500015258789,33.68162536621094,255808,0.0,0.0
2008-04-02,76.0,81.80000305175781,72.6500015258789,81.69999694824219,40.3784065246582,1553972,0.0,0.0
2008-04-03,87.80000305175781,87.80000305175781,75.1500015258789,77.1500015258789,38.129669189453125,1053262,0.0,0.0
2008-04-04,77.0,77.0,71.5,73.4000015258789,36.27631759643555,328795,0.0,0.0
2008-04-07,74.0,74.30000305175781,71.5999984741211,72.80000305175781,35.97978973388672,118788,0.0,0.0
2008-04-08,72.0999984741211,79.0,72.0999984741211,75.5999984741211,37.36361312866211,167389,0.0,0.0
2008-04-09,73.5,78.9000015258789,73.5,77.44999694824219,38.2779426574707,140538,0.0,0.0
2008-04-10,77.0,83.5,75.1500015258789,79.6500015258789,39.36523818969727,428950,0.0,0.0
2008-04-11,84.94999694824219,85.0,80.0999984741211,82.25,40.65023422241211,291348,0.0,0.0
2008-04-15,81.0999984741211,82.0,75.0,81.1500015258789,40.10658645629883,113299,0.0,0.0
2008-04-16,80.69999694824219,82.8499984741211,78.1500015258789,79.5999984741211,39.34052658081055,120837,0.0,0.0
2008-04-17,82.0,87.5999984741211,80.0999984741211,85.9000015258789,42.45417022705078,271284,0.0,0.0
2008-04-21,87.0,93.1999969482422,83.5,91.8499984741211,45.39482498168945,390113,0.0,0.0
