Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2017-12-01,120.0,126.0,120.0,122.0,121.68716430664062,2087000,0.0,0.0
2017-12-04,122.0,123.9499969482422,119.9000015258789,121.5500030517578,121.23831939697266,410000,0.0,0.0
2017-12-05,121.25,122.0500030517578,121.0,121.0,120.6897430419922,204000,0.0,0.0
2017-12-06,121.0,121.9499969482422,120.9000015258789,121.0,120.6897430419922,173000,0.0,0.0
2017-12-07,122.0999984741211,122.0999984741211,121.0,121.0,120.6897430419922,72000,0.0,0.0
2017-12-08,122.1999969482422,122.1999969482422,121.0,121.0999984741211,120.78947448730467,64000,0.0,0.0
2017-12-11,121.5,122.0,121.0,121.5,121.18844604492188,58000,0.0,0.0
2017-12-12,121.0,121.6999969482422,121.0,121.0999984741211,120.78947448730467,46000,0.0,0.0
2017-12-13,121.0500030517578,121.5999984741211,121.0500030517578,121.0999984741211,120.78947448730467,38000,0.0,0.0
2017-12-14,121.1999969482422,121.5999984741211,121.0500030517578,121.4000015258789,121.08871459960938,25000,0.0,0.0
2017-12-15,122.0,123.0,121.5,122.9000015258789,122.58485412597656,76000,0.0,0.0
2017-12-18,121.5,128.0,121.0,126.6500015258789,126.3252410888672,117000,0.0,0.0
2017-12-19,127.5,140.25,127.5,133.85000610351562,133.50677490234375,277000,0.0,0.0
2017-12-20,136.89999389648438,136.89999389648438,131.10000610351562,131.8000030517578,131.46205139160156,82000,0.0,0.0
2017-12-21,130.10000610351562,130.10000610351562,128.0,129.60000610351562,129.2677001953125,49000,0.0,0.0
2017-12-22,130.0,132.0,129.0,129.35000610351562,129.01832580566406,100000,0.0,0.0
2017-12-26,129.0,129.0,125.3000030517578,126.8000030517578,126.4748764038086,81000,0.0,0.0
2017-12-27,127.0999984741211,130.0,127.0,129.6999969482422,129.367431640625,108000,0.0,0.0
2017-12-28,129.89999389648438,129.89999389648438,127.6999969482422,128.25,127.92113494873048,36000,0.0,0.0
2017-12-29,128.0,130.0,126.0999984741211,127.4000015258789,127.07333374023438,38000,0.0,0.0
2018-01-01,130.0,131.0,127.6500015258789,127.6500015258789,127.32268524169922,17000,0.0,0.0
2018-01-02,127.6500015258789,128.3000030517578,126.0,126.0,125.67691802978516,24000,0.0,0.0
2018-01-03,126.0,128.0,125.8000030517578,126.3499984741211,126.02600860595705,39000,0.0,0.0
2018-01-04,125.5500030517578,128.0,125.5500030517578,127.3000030517578,126.97357177734376,24000,0.0,0.0
2018-01-05,128.0,129.9499969482422,127.5,128.39999389648438,128.07073974609375,19000,0.0,0.0
2018-01-08,129.9499969482422,130.0,127.25,127.5500030517578,127.22293853759766,23000,0.0,0.0
2018-01-09,127.0,128.0,126.5,127.0,126.6743392944336,19000,0.0,0.0
2018-01-10,128.0,129.0,126.75,127.3499984741211,127.0234603881836,25000,0.0,0.0
2018-01-11,126.5,127.4000015258789,126.0,126.5,126.1756362915039,7000,0.0,0.0
2018-01-12,129.0,129.0,126.0,127.0,126.6743392944336,25000,0.0,0.0
2018-01-15,126.1999969482422,127.75,126.1999969482422,127.6500015258789,127.32268524169922,18000,0.0,0.0
2018-01-16,126.0,126.0,125.0,125.0,124.67948150634766,102000,0.0,0.0
2018-01-17,125.0,126.25,125.0,125.25,124.92882537841795,16000,0.0,0.0
2018-01-18,126.0,126.0,125.0,125.0,124.67948150634766,63000,0.0,0.0
2018-01-19,124.0,125.25,123.5,125.0999984741211,124.77920532226562,11000,0.0,0.0
2018-01-22,124.0,126.0,123.0,124.0,123.6820297241211,32000,0.0,0.0
2018-01-23,126.0,126.0,125.0999984741211,125.5,125.17820739746094,14000,0.0,0.0
2018-01-24,123.75,125.0,123.5500030517578,124.9000015258789,124.57974243164062,28000,0.0,0.0
2018-01-25,124.5,124.5,123.4000015258789,123.4000015258789,123.08357238769533,18000,0.0,0.0
2018-01-29,124.6999969482422,124.9000015258789,124.0,124.0,123.6820297241211,6000,0.0,0.0
2018-01-30,124.0,124.0,121.0999984741211,122.9499969482422,122.6347427368164,48000,0.0,0.0
2018-01-31,122.0,122.5,122.0,122.0,121.68716430664062,41000,0.0,0.0
2018-02-01,125.8000030517578,125.8000030517578,122.1999969482422,124.25,123.931396484375,4000,0.0,0.0
2018-02-02,121.0,124.9499969482422,121.0,122.0500030517578,121.7370376586914,56000,0.0,0.0
2018-02-05,121.0,122.0999984741211,121.0,121.0,120.6897430419922,70000,0.0,0.0
2018-02-06,120.0,121.5,120.0,121.0,120.6897430419922,35000,0.0,0.0
2018-02-07,121.5,121.5,121.0,121.0500030517578,120.73960876464844,29000,0.0,0.0
2018-02-08,121.0,122.0,121.0,122.0,121.68716430664062,8000,0.0,0.0
2018-02-09,121.1999969482422,121.4000015258789,121.0,121.4000015258789,121.08871459960938,6000,0.0,0.0
2018-02-12,121.5,122.0,121.0999984741211,121.0999984741211,120.78947448730467,16000,0.0,0.0
2018-02-14,121.5,122.0,121.0,121.0999984741211,120.78947448730467,5000,0.0,0.0
2018-02-15,121.0,121.0500030517578,121.0,121.0500030517578,120.73960876464844,31000,0.0,0.0
2018-02-16,121.0500030517578,121.0500030517578,121.0500030517578,121.0500030517578,120.73960876464844,0,0.0,0.0
2018-02-19,121.75,122.0,121.0,121.0500030517578,120.73960876464844,23000,0.0,0.0
2018-02-20,121.0,121.0,121.0,121.0,120.6897430419922,4000,0.0,0.0
2018-02-21,121.0,121.0500030517578,121.0,121.0,120.6897430419922,24000,0.0,0.0
2018-02-22,121.0500030517578,121.0500030517578,121.0,121.0,120.6897430419922,2000,0.0,0.0
2018-02-23,121.0,121.5,121.0,121.5,121.18844604492188,26000,0.0,0.0
2018-02-26,121.0500030517578,121.0500030517578,121.0500030517578,121.0500030517578,120.73960876464844,1000,0.0,0.0
2018-02-27,121.0,121.0500030517578,121.0,121.0500030517578,120.73960876464844,29000,0.0,0.0
2018-02-28,121.5,121.5,121.0,121.0,120.6897430419922,3000,0.0,0.0
2018-03-01,121.0,121.0500030517578,121.0,121.0500030517578,120.73960876464844,21000,0.0,0.0
2018-03-05,121.0,121.25,121.0,121.0,120.6897430419922,38000,0.0,0.0
2018-03-06,121.5,122.0,121.0,122.0,121.68716430664062,26000,0.0,0.0
2018-03-07,121.0,121.0999984741211,121.0,121.0500030517578,120.73960876464844,43000,0.0,0.0
2018-03-08,121.0500030517578,121.5,121.0500030517578,121.0500030517578,120.73960876464844,14000,0.0,0.0
2018-03-09,121.5,121.5,121.0,121.0,120.6897430419922,3000,0.0,0.0
2018-03-12,121.0,121.8499984741211,121.0,121.0,120.6897430419922,55000,0.0,0.0
2018-03-13,121.8000030517578,121.8499984741211,121.0,121.0,120.6897430419922,55000,0.0,0.0
2018-03-14,121.0,122.25,121.0,121.0,120.6897430419922,61000,0.0,0.0
2018-03-15,121.5,121.5,121.0,121.25,120.93909454345705,65000,0.0,0.0
2018-03-16,121.0500030517578,121.75,121.0,121.4000015258789,121.08871459960938,73000,0.0,0.0
2018-03-19,121.0,121.0,121.0,121.0,120.6897430419922,68000,0.0,0.0
2018-03-20,121.0,121.5,121.0,121.0,120.6897430419922,154000,0.0,0.0
2018-03-21,122.5,122.5,121.0,121.0,120.6897430419922,53000,0.0,0.0
2018-03-22,121.0,121.5,121.0,121.0,120.6897430419922,12000,0.0,0.0
2018-03-23,121.0,121.4499969482422,121.0,121.0999984741211,120.78947448730467,155000,0.0,0.0
2018-03-26,121.0500030517578,121.0500030517578,121.0,121.0,120.6897430419922,90000,0.0,0.0
2018-03-27,121.5,121.5,121.0,121.0,120.6897430419922,21000,0.0,0.0
2018-03-28,121.0,121.0500030517578,121.0,121.0500030517578,120.73960876464844,49000,0.0,0.0
2018-04-02,122.0,122.0,121.5,121.5,121.18844604492188,9000,0.0,0.0
