Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2026-04-20,3099.949951171875,3100.0,2946.300048828125,2986.0,2986.0,154,0.0,0.0
2026-04-21,3049.949951171875,3049.949951171875,2990.0,3046.64990234375,3046.64990234375,44,0.0,0.0
2026-04-22,3046.64990234375,3050.0,2950.0,3000.39990234375,3000.39990234375,535,0.0,0.0
2026-04-23,2949.949951171875,3048.949951171875,2912.449951171875,3005.25,3005.25,480,0.0,0.0
2026-04-24,3040.0,3040.0,2930.0,2969.0,2969.0,387,0.0,0.0
2026-04-27,2874.050048828125,3048.550048828125,2874.050048828125,2998.699951171875,2998.699951171875,385,0.0,0.0
2026-04-28,3046.050048828125,3046.050048828125,2956.10009765625,2999.199951171875,2999.199951171875,254,0.0,0.0
2026-04-29,2912.60009765625,3015.0,2912.60009765625,2970.199951171875,2970.199951171875,808,0.0,0.0
2026-04-30,2970.14990234375,2970.14990234375,2935.550048828125,2950.0,2950.0,407,0.0,0.0
2026-05-04,2950.0,3097.300048828125,2915.0,2938.199951171875,2938.199951171875,383,0.0,0.0
2026-05-05,2998.89990234375,2998.89990234375,2910.0,2961.800048828125,2961.800048828125,773,0.0,0.0
2026-05-06,3098.0,3098.0,2940.199951171875,2943.199951171875,2943.199951171875,525,0.0,0.0
2026-05-07,2998.89990234375,3000.10009765625,2931.5,2966.300048828125,2966.300048828125,667,0.0,0.0
2026-05-08,2951.5,2996.89990234375,2941.0,2953.0,2953.0,816,0.0,0.0
2026-05-11,2999.0,2999.0,2888.0,2915.89990234375,2915.89990234375,526,0.0,0.0
2026-05-12,2930.0,2930.0,2850.0,2851.699951171875,2851.699951171875,647,0.0,0.0
2026-05-13,2990.0,2990.0,2641.0,2754.300048828125,2754.300048828125,683,0.0,0.0
2026-05-14,2894.0,2894.0,2721.60009765625,2763.699951171875,2763.699951171875,268,0.0,0.0
2026-05-15,2901.0,2986.5,2751.800048828125,2767.10009765625,2767.10009765625,305,0.0,0.0
2026-05-18,2787.0,2787.0,2655.0,2662.199951171875,2662.199951171875,394,0.0,0.0
2026-05-19,2676.0,2883.0,2616.10009765625,2656.89990234375,2656.89990234375,923,0.0,0.0
2026-05-20,2680.0,2797.5,2680.0,2731.60009765625,2731.60009765625,520,0.0,0.0
2026-05-21,2729.800048828125,2840.5,2712.0,2818.0,2818.0,758,0.0,0.0
2026-05-22,2801.5,2860.0,2770.0,2775.699951171875,2775.699951171875,286,0.0,0.0
2026-05-25,2978.800048828125,2978.800048828125,2798.699951171875,2843.199951171875,2843.199951171875,213,0.0,0.0
2026-05-26,2843.199951171875,3375.0,2804.0,3190.39990234375,3190.39990234375,3635,0.0,0.0
2026-05-27,3398.0,3494.699951171875,3204.0,3315.39990234375,3315.39990234375,6443,0.0,0.0
2026-05-29,3261.0,3949.89990234375,3261.0,3558.89990234375,3558.89990234375,4487,0.0,0.0
2026-06-01,3876.60009765625,3876.60009765625,3360.10009765625,3545.10009765625,3545.10009765625,5122,0.0,0.0
2026-06-02,3545.10009765625,3810.39990234375,3545.10009765625,3607.89990234375,3607.89990234375,2897,0.0,0.0
2026-06-03,3610.0,3690.0,3550.0,3584.5,3584.5,2318,0.0,0.0
2026-06-04,3586.199951171875,3695.0,3586.199951171875,3610.10009765625,3610.10009765625,1545,0.0,0.0
2026-06-05,3649.60009765625,3680.800048828125,3403.300048828125,3428.5,3428.5,2076,0.0,0.0
2026-06-08,3411.5,3474.60009765625,3300.0,3320.60009765625,3320.60009765625,1076,0.0,0.0
2026-06-09,3322.10009765625,3429.89990234375,3322.10009765625,3379.10009765625,3379.10009765625,576,0.0,0.0
2026-06-10,3403.89990234375,3491.0,3361.0,3379.0,3379.0,893,0.0,0.0
2026-06-11,3377.89990234375,3445.0,3361.0,3379.300048828125,3379.300048828125,955,0.0,0.0
2026-06-12,3413.800048828125,3413.800048828125,3315.0,3345.10009765625,3345.10009765625,913,0.0,0.0
2026-06-15,3400.0,3401.39990234375,3333.0,3363.39990234375,3363.39990234375,1690,0.0,0.0
2026-06-16,3500.0,3500.0,3300.0,3350.199951171875,3350.199951171875,1112,0.0,0.0
2026-06-17,3355.89990234375,3400.0,3318.699951171875,3382.39990234375,3382.39990234375,2488,0.0,0.0
2026-06-18,3497.0,3497.0,3400.0,3419.10009765625,3419.10009765625,3229,0.0,0.0
2026-06-19,3440.800048828125,3460.0,3390.0,3417.39990234375,3417.39990234375,1550,0.0,0.0
2026-06-22,3421.60009765625,3492.39990234375,3418.0,3423.699951171875,3423.699951171875,1172,0.0,0.0
2026-06-23,3424.60009765625,3456.89990234375,3411.0,3425.5,3425.5,506,0.0,0.0
2026-06-24,3422.60009765625,3437.89990234375,3400.0,3409.0,3409.0,599,0.0,0.0
2026-06-25,3402.10009765625,3419.89990234375,3103.300048828125,3191.699951171875,3191.699951171875,2636,0.0,0.0
2026-06-29,3180.0,3180.0,3090.0,3145.199951171875,3145.199951171875,1137,0.0,0.0
2026-06-30,3181.89990234375,3232.0,3050.0,3086.0,3086.0,1233,0.0,0.0
2026-07-01,3168.5,3690.0,3145.5,3597.0,3597.0,11075,0.0,0.0
2026-07-02,3747.60009765625,3747.60009765625,3551.0,3622.5,3622.5,12128,0.0,0.0
2026-07-03,3641.10009765625,4096.0,3575.0,3991.60009765625,3991.60009765625,23693,0.0,0.0
