Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
2010-09-29,2950.0,2950.0,2260.0,2340.0,2340.0,1366424,0.0,0.0
2010-09-30,2410.0,2545.0,2355.0,2445.0,2445.0,209378,0.0,0.0
2010-10-01,2480.0,2545.0,2400.0,2460.0,2460.0,102170,0.0,0.0
2010-10-04,2480.0,2510.0,2380.0,2420.0,2420.0,55199,0.0,0.0
2010-10-05,2420.0,2425.0,2310.0,2330.0,2330.0,37835,0.0,0.0
2010-10-06,2370.0,2415.0,2325.0,2355.0,2355.0,34354,0.0,0.0
2010-10-07,2355.0,2385.0,2290.0,2300.0,2300.0,17818,0.0,0.0
2010-10-08,2310.0,2325.0,2225.0,2275.0,2275.0,20969,0.0,0.0
2010-10-11,2310.0,2370.0,2285.0,2310.0,2310.0,12605,0.0,0.0
2010-10-12,2305.0,2345.0,2250.0,2285.0,2285.0,14093,0.0,0.0
2010-10-13,2300.0,2350.0,2275.0,2295.0,2295.0,12312,0.0,0.0
2010-10-14,2310.0,2310.0,2215.0,2225.0,2225.0,10896,0.0,0.0
2010-10-15,2235.0,2240.0,2145.0,2170.0,2170.0,10311,0.0,0.0
2010-10-18,2250.0,2250.0,2100.0,2145.0,2145.0,11152,0.0,0.0
2010-10-19,2150.0,2365.0,2130.0,2265.0,2265.0,36033,0.0,0.0
2010-10-20,2270.0,2310.0,2235.0,2280.0,2280.0,9292,0.0,0.0
2010-10-21,2300.0,2420.0,2270.0,2385.0,2385.0,35948,0.0,0.0
2010-10-22,2400.0,2415.0,2310.0,2320.0,2320.0,10776,0.0,0.0
2010-10-25,2325.0,2445.0,2325.0,2375.0,2375.0,15265,0.0,0.0
2010-10-26,2390.0,2520.0,2350.0,2470.0,2470.0,95687,0.0,0.0
2010-10-27,2495.0,2550.0,2460.0,2495.0,2495.0,51249,0.0,0.0
2010-10-28,2520.0,2550.0,2465.0,2515.0,2515.0,36702,0.0,0.0
2010-10-29,2510.0,2525.0,2390.0,2420.0,2420.0,25009,0.0,0.0
2010-11-01,2440.0,2590.0,2360.0,2565.0,2565.0,122380,0.0,0.0
2010-11-02,2590.0,2695.0,2575.0,2605.0,2605.0,95658,0.0,0.0
2010-11-03,2650.0,2680.0,2585.0,2630.0,2630.0,37255,0.0,0.0
2010-11-04,2650.0,2670.0,2590.0,2620.0,2620.0,20567,0.0,0.0
2010-11-08,2775.0,2940.0,2700.0,2875.0,2875.0,141520,0.0,0.0
2010-11-09,2895.0,2970.0,2855.0,2905.0,2905.0,66366,0.0,0.0
2010-11-10,2910.0,3095.0,2870.0,3000.0,3000.0,129974,0.0,0.0
2010-11-11,3030.0,3050.0,2825.0,2850.0,2850.0,53242,0.0,0.0
2010-11-12,2840.0,2930.0,2750.0,2785.0,2785.0,36205,0.0,0.0
2010-11-15,2760.0,2840.0,2675.0,2695.0,2695.0,25343,0.0,0.0
2010-11-16,2700.0,2780.0,2525.0,2565.0,2565.0,45279,0.0,0.0
2010-11-18,2595.0,2655.0,2450.0,2560.0,2560.0,33656,0.0,0.0
2010-11-19,2580.0,2610.0,2455.0,2480.0,2480.0,24195,0.0,0.0
2010-11-22,2510.0,2685.0,2510.0,2655.0,2655.0,32492,0.0,0.0
2010-11-23,2615.0,2660.0,2465.0,2555.0,2555.0,25567,0.0,0.0
2010-11-24,2600.0,2625.0,2505.0,2535.0,2535.0,18062,0.0,0.0
2010-11-25,2550.0,2585.0,2480.0,2500.0,2500.0,12313,0.0,0.0
2010-11-26,2525.0,2535.0,2250.0,2385.0,2385.0,28768,0.0,0.0
2010-11-29,2435.0,2435.0,2365.0,2395.0,2395.0,7953,0.0,0.0
2010-11-30,2410.0,2480.0,2350.0,2460.0,2460.0,9487,0.0,0.0
2010-12-01,2475.0,2635.0,2450.0,2595.0,2595.0,17461,0.0,0.0
2010-12-02,2650.0,2790.0,2600.0,2615.0,2615.0,23600,0.0,0.0
2010-12-03,2625.0,2635.0,2485.0,2610.0,2610.0,12642,0.0,0.0
2010-12-06,2660.0,2660.0,2450.0,2485.0,2485.0,7513,0.0,0.0
2010-12-07,2485.0,2555.0,2455.0,2465.0,2465.0,7399,0.0,0.0
2010-12-08,2450.0,2510.0,2395.0,2410.0,2410.0,6420,0.0,0.0
2010-12-09,2310.0,2400.0,2160.0,2260.0,2260.0,11844,0.0,0.0
