last_close,pct_change,volume_ratio,atr_pct,is_new_ath,prior_ath,listing_date,days_listed,momentum_score,symbol,name,exchange,ticker
914.3,19.99,8.33,6.23,True,890.0,2007-12-20,6829,99.97,KALYANIFRG,Kalyani Forge Limited,NSE,KALYANIFRG.NS
282.49,15.68,21.9,5.6,True,278.0,2008-02-13,6774,78.4,CORDSCABLE,Cords Cable Industries Limited,NSE,CORDSCABLE.NS
454.05,12.12,2.96,5.21,True,423.95,2021-05-03,1946,35.87,MODISONLTD,MODISON LIMITED,NSE,MODISONLTD.NS
932.6,5.25,5.18,2.74,True,917.0,2022-09-15,1446,26.27,TMB,Tamilnad Mercantile Bank Limited,NSE,TMB.NS
1717.7,6.27,3.99,3.47,True,1630.0,2025-05-06,482,25.04,ATHERENERG,Ather Energy Limited,NSE,ATHERENERG.NS
185.77,4.38,3.95,4.21,True,181.66,2024-10-18,682,17.33,VINCOFE,Vintage Coffee And Beverages Limited,NSE,VINCOFE.NS
679.45,3.93,2.11,4.12,True,657.0,2026-04-23,130,8.28,TIMEX,Timex Group India Limited,NSE,TIMEX.NS
2412.0,4.55,1.61,4.04,True,2340.0,2023-12-27,978,7.34,HAPPYFORGE,Happy Forgings Limited,NSE,HAPPYFORGE.NS
1279.6,3.01,1.77,4.6,True,1275.0,2017-07-27,3322,5.35,CNL,Creative Newtech Limited,NSE,CNL.NS
134.77,3.04,1.61,4.36,True,132.04,2023-06-12,1176,4.88,GHCLTEXTIL,GHCL Textiles Limited,NSE,GHCLTEXTIL.NS
